timestamp,left_leg_angle,right_leg_angle,x_absolute,y_absolute,robot_action
2025-12-19 21:44:28.650,3.251953125,1.7578125,-2.74542179947634,5.42355211704893,6
2025-12-19 21:44:29.650,3.251953125,1.669921875,-2.74957997844737,5.42806429787902,6
2025-12-19 21:44:30.650,3.251953125,1.669921875,-2.72840866910633,5.4309612618949,6
2025-12-19 21:44:31.650,3.1640625,1.23046875,-2.72345665358372,5.41684402425965,6
2025-12-19 21:44:32.650,308.14453125,304.1015625,-2.70425918331447,5.43707751733555,6
2025-12-19 21:44:33.650,301.2890625,310.4296875,-2.85062215632093,5.37705805241265,6
2025-12-19 21:44:34.650,298.037109375,301.46484375,-2.71014800873853,5.50421206919365,6
2025-12-19 21:44:35.650,300.05859375,305.068359375,-1.85065949988617,5.60331155677597,6
2025-12-19 21:44:36.650,308.935546875,307.96875,-1.23576962649002,5.50033176085294,6
2025-12-19 21:44:37.650,328.359375,309.990234375,-0.241244235342226,5.40697774808855,6
2025-12-19 21:44:38.650,321.416015625,313.9453125,0.524852091839905,5.47353584693651,6
2025-12-19 21:44:39.650,306.650390625,307.79296875,1.6592451306285,5.54464912297825,6
2025-12-19 21:44:40.650,310.869140625,307.96875,2.3335481278916,5.56074443380775,6
2025-12-19 21:44:41.650,312.71484375,305.68359375,3.2962099115803,5.57507528483722,6
2025-12-19 21:44:42.652,309.375,312.71484375,3.59023143813382,5.56253205822808,6
2025-12-19 21:44:43.650,305.419921875,306.826171875,4.32069622105406,5.47481995363018,6
2025-12-19 21:49:51.421,294.78515625,296.806640625,4.09808786919132,2.08039096895501,0
2025-12-19 21:49:52.421,306.5625,298.30078125,4.096940673555,2.04097725740625,0
2025-12-19 21:49:53.421,296.54296875,328.974609375,3.64705033792035,1.94327548969088,0
2025-12-19 21:49:54.421,334.423828125,301.728515625,3.27036429057438,1.91493730828732,0
2025-12-19 21:49:55.421,305.419921875,308.14453125,2.37471202140304,1.90186329336766,0
2025-12-19 21:49:56.421,299.8828125,323.525390625,1.74509939740526,1.89761493749546,0
2025-12-19 21:49:57.421,334.423828125,300.146484375,0.681047195737943,1.86535417943078,0
2025-12-19 21:49:58.421,306.123046875,309.90234375,-0.0290961313269676,1.77681782689114,0
2025-12-19 21:49:59.421,297.0703125,325.546875,-1.7432365437942,1.59432040440973,1
2025-12-19 21:50:00.421,312.1875,301.46484375,-2.37104050279834,1.66523611934902,1
2025-12-19 21:50:01.421,302.6953125,301.81640625,-3.37634775790013,1.66166017568242,1
2025-12-19 21:50:02.421,356.044921875,358.9453125,-3.42539682762052,1.74540089421361,1
2025-12-19 21:50:03.421,2.021484375,1.93359375,-3.58617924613684,1.77091821543232,1
2025-12-19 21:50:04.421,2.4609375,1.93359375,-3.66092116210724,1.71575261189946,1
2025-12-19 21:50:05.421,2.548828125,1.845703125,-3.46891294188699,1.78026020661094,1
2025-12-19 21:50:06.421,2.548828125,1.669921875,-3.40136107563135,1.71917180925869,1
2025-12-19 21:50:07.421,2.63671875,1.40625,-3.22879153489581,1.67262887541712,1
2025-12-19 21:50:08.421,2.8125,1.7578125,-3.13774984156635,1.63637153198054,1
2025-12-19 21:50:09.421,2.8125,1.7578125,-2.86613892081521,1.66220034715757,1
2025-12-19 21:50:10.421,2.8125,1.58203125,-2.85902792630512,1.66811486113796,1
2025-12-19 21:50:11.421,2.8125,1.58203125,-2.89694914250883,1.67025752070626,1
2025-12-19 21:50:12.421,2.8125,1.494140625,-2.76756329458754,1.68782126514854,1
2025-12-19 21:50:13.421,2.4609375,2.021484375,-2.90876621351936,1.66278469162252,1
2025-12-19 21:50:14.421,2.4609375,1.93359375,-2.9810352354635,1.66253072011451,1
2025-12-19 21:50:15.421,2.4609375,2.021484375,-3.13270833247147,1.63964704009863,1
2025-12-19 21:50:16.421,2.4609375,1.93359375,-3.21609851458435,1.64034363866463,1
2025-12-19 21:50:17.421,2.4609375,1.93359375,-3.25027879503511,1.63612877275197,1
2025-12-19 21:50:18.421,2.4609375,1.93359375,-3.28394787464721,1.63527938171411,1
2025-12-19 21:50:19.421,2.4609375,1.93359375,-3.29472051150976,1.61561383552963,1
2025-12-19 21:50:20.421,2.4609375,1.93359375,-3.24061916123512,1.63004798882979,1
2025-12-19 21:50:21.421,2.4609375,1.93359375,-3.27006853823272,1.55287309211103,1
2025-12-19 21:50:22.421,2.4609375,1.93359375,-3.19868174995733,1.59294393569352,1
2025-12-19 21:50:23.421,2.4609375,1.93359375,-3.04600511129645,1.66512046913658,1
2025-12-19 21:50:24.421,2.4609375,1.93359375,-2.88196863965191,1.73663080374145,1
2025-12-19 21:50:25.421,2.4609375,1.93359375,-2.99452637310392,1.73051600969191,1
2025-12-19 21:50:26.421,2.4609375,1.93359375,-3.0568583580438,1.71035280711209,1
2025-12-19 21:50:27.421,2.4609375,1.93359375,-3.12613269459852,1.6896026116621,1
2025-12-19 21:50:28.421,2.4609375,1.93359375,-3.09480291803256,1.68654251628611,1
2025-12-19 21:50:29.421,2.4609375,1.93359375,-3.18803544423827,1.66209163854861,1
2025-12-19 21:50:30.421,2.4609375,1.93359375,-3.26481060563491,1.63993399114066,2
2025-12-19 21:50:31.421,2.4609375,1.93359375,-3.07686473850471,1.70917115537458,2
2025-12-19 21:50:32.421,2.4609375,1.93359375,-3.07071367514561,1.71216931946799,2
2025-12-19 21:50:33.421,2.4609375,1.93359375,-3.08263020840544,1.70412751478591,2
2025-12-19 21:50:34.421,2.4609375,1.93359375,-3.13726200344064,1.67711109395284,2
2025-12-19 21:50:35.421,2.4609375,1.93359375,-3.08734459338959,1.69192833444608,2
2025-12-19 21:50:36.421,2.4609375,1.93359375,-3.15734242524568,1.66586520428769,2
2025-12-19 21:50:37.421,2.4609375,1.93359375,-3.24909648437731,1.63693534358507,2
2025-12-19 21:50:38.421,2.4609375,1.93359375,-3.37669842942957,1.60673441554576,2
