timestamp,raw_x,raw_y,kal_x,kal_y,odom_x,odom_y
1765029413,2.572,2.094,2.703,2.169,2.685,2.571
1765029414,2.563,2.03,2.717,2.143,2.695,2.571
1765029414,2.581,2.089,2.725,2.135,2.714,2.572
1765029414,2.598,2.068,2.731,2.122,2.732,2.572
1765029415,2.631,2.05,2.738,2.106,2.773,2.579
1765029415,2.672,2.014,2.75,2.082,2.823,2.587
1765029418,3.472,2.033,3.309,2.098,3.555,2.705
1765029418,3.594,2.117,3.431,2.105,3.671,2.719
1765029419,3.697,2.139,3.555,2.116,3.786,2.737
1765029419,3.875,2.164,3.698,2.131,3.852,2.746
1765029420,3.925,2.166,3.823,2.145,3.962,2.763
1765029420,3.992,2.186,3.938,2.16,4.036,2.776
1765029420,4.065,2.21,4.044,2.179,4.098,2.786
1765029421,4.147,2.209,4.145,2.194,4.158,2.795
1765029421,4.2,2.194,4.233,2.202,4.202,2.802
1765029421,4.239,2.196,4.307,2.208,4.225,2.805
1765029422,4.275,2.212,4.369,2.216,4.278,2.811
1765029422,4.293,2.23,4.417,2.227,4.315,2.815
1765029422,4.344,2.262,4.46,2.243,4.366,2.825
1765029423,4.362,2.246,4.492,2.251,4.385,2.827
1765029423,4.37,2.25,4.514,2.259,4.378,2.826
1765029424,4.402,2.221,4.532,2.256,4.378,2.826
1765029424,4.169,2.3,4.481,2.273,4.366,2.812
1765029424,4.313,2.274,4.468,2.281,4.365,2.803
1765029425,4.129,2.347,4.405,2.304,4.363,2.807
1765029425,4.247,2.411,4.379,2.34,4.37,2.816
1765029426,4.224,2.371,4.348,2.359,4.372,2.814
1765029426,4.41,2.326,4.368,2.362,4.374,2.814
1765029426,4.451,2.352,4.395,2.37,4.382,2.813
1765029427,4.5,2.332,4.43,2.369,4.39,2.83
1765029427,4.305,2.584,4.408,2.433,4.376,2.82
1765029428,4.303,2.568,4.388,2.481,4.371,2.821
1765029428,4.35,2.515,4.382,2.507,4.37,2.822
1765029428,4.351,2.55,4.376,2.535,4.37,2.823
1765029429,4.584,2.359,4.431,2.508,4.369,2.824
1765029429,4.418,2.423,4.434,2.498,4.366,2.821
1765029429,4.729,2.278,4.517,2.451,4.365,2.821
1765029433,4.235,2.442,4.492,2.422,4.108,2.777
1765029433,4.199,2.386,4.406,2.413,4.013,2.759
1765029434,4.117,2.414,4.313,2.412,3.916,2.745
