timestamp,left_leg_angle,right_leg_angle,x_absolute,y_absolute
2025-12-19 23:44:39.776,288.45703125,296.806640625,4.342674288237523,1.4449226731224893
2025-12-19 23:44:40.776,288.45703125,298.388671875,4.336109278811606,1.4612415441397313
2025-12-19 23:44:41.777,288.45703125,296.89453125,4.3042602838587465,1.4639200723482533
2025-12-19 23:44:42.776,284.4140625,310.60546875,4.171801344960931,1.5004500320511531
2025-12-19 23:44:43.776,289.599609375,297.7734375,3.565562264232443,1.3668719049201532
2025-12-19 23:44:44.776,274.833984375,301.81640625,2.9747454458710028,1.2888369261075274
2025-12-19 23:44:45.776,294.609375,293.115234375,1.8830444784375264,1.0535050572926212
2025-12-19 23:44:46.776,292.939453125,290.56640625,1.1648890809658248,1.0848476730969945
2025-12-19 23:44:47.776,301.9921875,293.02734375,0.02104423239186004,1.1985337185707565
2025-12-19 23:44:48.776,287.138671875,283.53515625,-0.935021671671568,1.264897992151705
2025-12-19 23:44:49.776,285.8203125,311.8359375,-2.1532869989560597,1.3192978560219029
2025-12-19 23:44:50.776,286.5234375,308.759765625,-2.7156088163249485,1.3226941792185256
2025-12-19 23:44:51.776,353.759765625,356.923828125,-3.3013331799318744,1.3919835064923058
2025-12-19 23:44:52.776,1.7578125,1.93359375,-3.2612796383488085,1.4939247618053402
2025-12-19 23:44:53.776,2.197265625,1.58203125,-3.1468090268890894,1.5937454830482336
2025-12-19 23:44:54.776,2.548828125,1.93359375,-3.1262725627129067,1.6678305074445867
2025-12-19 23:44:55.776,2.28515625,1.845703125,-2.9223343979070453,1.633779854994344
2025-12-19 23:44:56.776,2.4609375,1.669921875,-2.7911735474159105,1.6064339185730911
2025-12-19 23:44:57.776,2.109375,1.93359375,-2.989843332217017,1.5604559232645858
2025-12-19 23:44:58.776,2.197265625,1.93359375,-2.8638954622352175,1.6230299071297238
2025-12-19 23:44:59.776,2.197265625,1.93359375,-2.908966094871742,1.5575248034192366
2025-12-19 23:45:00.776,2.28515625,1.93359375,-2.8760261008392183,1.5418151489064562
2025-12-19 23:45:01.776,2.28515625,1.93359375,-2.8661264199301115,1.4883161113640242
2025-12-19 23:45:02.776,2.197265625,1.93359375,-2.9222335724753696,1.452624649622599
2025-12-19 23:45:03.776,2.197265625,2.021484375,-2.7786461425584807,1.4696501419109347
2025-12-19 23:45:04.776,2.197265625,1.93359375,-2.627319583826776,1.5072121370781948
2025-12-19 23:45:05.776,2.28515625,1.93359375,-2.5715113720827487,1.537939502906496
2025-12-19 23:45:06.776,2.197265625,2.021484375,-2.621688633142651,1.520185530547944
2025-12-19 23:45:07.776,2.197265625,2.021484375,-2.7008330548857336,1.4973324878009644
2025-12-19 23:45:08.776,2.109375,1.93359375,-2.7767461867895555,1.5474534412209657
2025-12-19 23:45:09.776,2.197265625,1.93359375,-2.8487727177272655,1.5946703828184257
2025-12-19 23:45:10.776,2.28515625,2.021484375,-2.7205063473325444,1.611802579939462
2025-12-19 23:45:11.776,2.28515625,2.021484375,-2.7154396982863114,1.5690603725004986
2025-12-19 23:45:12.776,2.28515625,2.021484375,-2.5396635417161066,1.5895924932687742
2025-12-19 23:45:13.776,2.197265625,2.021484375,-2.6650864092613453,1.4863373210837716
2025-12-19 23:45:14.776,2.197265625,2.021484375,-2.735764562816633,1.4635355723889245
2025-12-19 23:45:15.776,2.197265625,2.021484375,-2.709070925655574,1.4332327103348772
2025-12-19 23:45:16.776,2.197265625,2.021484375,-2.6097083196425075,1.4653695406533005
2025-12-19 23:45:17.776,2.28515625,1.93359375,-2.607335442979341,1.4723391300062734
2025-12-19 23:45:18.776,2.28515625,1.93359375,-2.532600552695264,1.5118128881990516
2025-12-19 23:45:19.776,2.28515625,1.93359375,-2.4885173859905407,1.5412737306159452
2025-12-19 23:45:20.776,2.28515625,2.021484375,-2.469508331495181,1.5674563398991388
2025-12-19 23:45:21.776,2.28515625,1.93359375,-2.473779355904772,1.5440909542893433
2025-12-19 23:45:22.776,2.28515625,1.93359375,-2.5187571050355464,1.530003807706185
2025-12-19 23:45:23.776,2.28515625,1.93359375,-2.5432703371649046,1.5242733468625227
2025-12-19 23:45:24.776,2.28515625,1.93359375,-2.6391922126512783,1.5089151963946137
2025-12-19 23:45:25.776,2.28515625,2.021484375,-2.7862313828708505,1.5004539827565817
2025-12-19 23:45:26.776,2.373046875,2.021484375,-2.942610267763701,1.5120833701129055
2025-12-19 23:45:27.776,2.373046875,2.021484375,-2.9715504040648177,1.4906401090934625
2025-12-19 23:45:28.776,2.373046875,2.021484375,-2.9693224070078044,1.5161569922287794
2025-12-19 23:45:29.776,2.373046875,2.021484375,-3.1187645834667954,1.5898895497113499
2025-12-19 23:45:30.776,2.373046875,2.021484375,-3.150929285788756,1.553030235107445
2025-12-19 23:45:31.776,2.373046875,2.021484375,-2.9416479161172395,1.5480879298446495
2025-12-19 23:45:32.776,2.373046875,1.93359375,-2.7299936970858525,1.525516441586675
2025-12-19 23:45:33.776,2.373046875,2.021484375,-2.6081294440366793,1.5429302132933158
2025-12-19 23:45:34.776,2.373046875,2.021484375,-2.5269256263552986,1.5727311351948976
2025-12-19 23:45:35.776,2.4609375,2.021484375,-2.501922111549372,1.5819664453950772
2025-12-19 23:45:36.776,2.4609375,1.93359375,-2.4657891041382936,1.5751889610107341
2025-12-19 23:45:37.776,2.4609375,2.021484375,-2.864262137908325,1.4370305214778027
2025-12-19 23:45:38.776,2.4609375,2.021484375,-2.9301086899412514,1.424018871816859
2025-12-19 23:45:39.776,2.4609375,2.021484375,-2.936894210765807,1.4172696683258597
