timestamp,left_leg_angle,right_leg_angle,x_absolute,y_absolute,x_relative,y_relative,action
2025-12-16 21:30:33.539,0,0,0,0,0,0,1
2025-12-16 21:30:34.539,0,0,0,0,0,0,1
2025-12-16 21:30:35.539,3.427734375,11.162109375,0,0,0,0,1
2025-12-16 21:30:36.539,3.427734375,11.513671875,0.25410519512694885,0.4466863823116833,0.25410519512694885,0.4466863823116833,2
2025-12-16 21:30:37.539,3.427734375,12.12890625,0.2539519919664043,0.446721206680541,0.00015320316054456828,3.482436885771101e-05,1
2025-12-16 21:30:38.539,3.427734375,11.6015625,0.25372588135811414,0.44695941859577826,0.00022611060829014207,0.00023821191523726304,1
2025-12-16 21:30:39.539,3.427734375,11.6015625,0.2535221617369506,0.4472281179277428,0.00020371962116355613,0.0002686993319645503,1
2025-12-16 21:30:40.539,3.427734375,11.6015625,0.25337624479036297,0.4474462194017213,0.00014591694658760979,0.00021810147397849367,1
2025-12-16 21:30:41.539,3.427734375,11.6015625,0.25328957257872187,0.4475910623124618,8.667221164110339e-05,0.00014484291074051692,1
2025-12-16 21:30:42.539,3.427734375,11.6015625,0.2532487331946307,0.4476703117284494,4.08393840911625e-05,7.924941598758117e-05,1
2025-12-16 21:30:43.539,3.427734375,11.6015625,0.2532371444884312,0.44770277356907356,1.1588706199494592e-05,3.246184062416502e-05,1
2025-12-16 21:30:44.539,3.427734375,11.6015625,0.2532407962444693,0.44770756048119176,3.6517560381144065e-06,4.786912118193154e-06,1
2025-12-16 21:30:45.539,3.427734375,11.6015625,0.2532500943724512,0.4476993906540009,9.298127981893778e-06,8.169827190873669e-06,1
2025-12-16 21:30:46.539,2.021484375,35.068359375,0.25325960313213747,0.44768761989795147,9.508759686249757e-06,1.1770756049411801e-05,1
2025-12-16 21:30:47.539,58.271484375,23.291015625,0.25326695039119274,0.4476770978346955,7.347259055268118e-06,1.0522063255968828e-05,1
2025-12-16 21:30:48.539,54.84375,28.828125,0.25327163452711215,0.447669600655511,4.684135919419408e-06,7.497179184523528e-06,1
2025-12-16 21:30:49.539,17.9296875,7.91015625,0.25327407181159134,0.4476651709525766,2.437284479184232e-06,4.429702934405366e-06,1
2025-12-16 21:30:50.539,11.25,70.048828125,0.2532750505275544,0.44766278347639693,9.787159630514353e-07,2.387476179643855e-06,1
2025-12-16 21:30:51.539,5.80078125,69.08203125,0.2532749100624509,0.447662539258953,1.404651034930815e-07,2.4421744393432476e-07,1
2025-12-16 21:30:52.539,0.703125,34.541015625,0.2532745105969692,0.4476628801683997,3.9946548169300655e-07,3.4090944672771073e-07,1
2025-12-16 21:30:53.539,64.6875,29.8828125,0.2532740950668014,0.4476633903353329,4.155301678299139e-07,5.101669331986081e-07,1
2025-12-16 21:30:54.539,46.93359375,27.59765625,0.25327377106282223,0.447663852015041,3.240039791463367e-07,4.616797080747581e-07,1
2025-12-16 21:30:55.539,11.07421875,15.64453125,0.25327356287844727,0.4476641836633686,2.081843749612844e-07,3.3164832757837104e-07,1
2025-12-16 21:30:56.539,50.888671875,59.0625,0.25327345346852,0.4476643812318591,1.0940992728469823e-07,1.975684905120012e-07,1
2025-12-16 21:30:57.539,73.30078125,72.421875,0.253273412163161,0.44766447473839077,4.130535896651466e-08,9.350653168427314e-08,0
2025-12-16 21:30:58.539,73.916015625,72.59765625,0.25327340973375473,0.4476645016470322,2.4294062872520783e-09,2.69086414261821e-08,0
2025-12-16 21:30:59.539,73.65234375,72.685546875,0.2532734244881824,0.4476644937322633,1.4754427679619653e-08,7.914768895833646e-09,0
2025-12-16 21:31:00.539,73.65234375,72.685546875,0.25327344309033634,0.44766447281428573,1.860215392834874e-08,2.0917977572310065e-08,0
2025-12-16 21:31:01.539,73.916015625,72.685546875,0.253273458931694,0.4476644512940372,1.584135767007666e-08,2.1520248527640007e-08,0
2025-12-16 21:31:02.539,73.828125,72.685546875,0.2532734698426622,0.4476644346120568,1.0910968184507652e-08,1.6681980408161934e-08,0
2025-12-16 21:31:03.538,73.828125,72.7734375,0.25327347606376555,0.44766442394704703,6.221103354686619e-09,1.0665009764210254e-08,0
2025-12-16 21:31:04.539,73.828125,72.7734375,0.2532734788082285,0.44766441837787363,2.744462934689551e-09,5.569173400221672e-09,0
2025-12-16 21:31:05.539,73.740234375,72.7734375,0.25327347941756523,0.44766441630441567,6.09336747725564e-10,2.073457960882763e-09,0
2025-12-16 21:31:06.539,73.740234375,72.59765625,0.2532734789704536,0.4476644162153525,4.471116255011509e-10,8.906314574730345e-11,0
2025-12-16 21:31:07.539,73.740234375,72.685546875,0.253273478177873,0.44766441699515164,7.925806122521806e-10,7.797991141700322e-10,0
2025-12-16 21:31:08.539,73.740234375,72.685546875,0.25327347742536843,0.4476644179615053,7.525045586653789e-10,9.66353663756081e-10,0
2025-12-16 21:31:09.539,74.00390625,72.685546875,0.2532734768681634,0.4476644187787454,5.572050043589627e-10,8.172401089190373e-10,0
2025-12-16 21:31:10.539,73.916015625,72.685546875,0.25327347652632953,0.4476644193387748,3.4183389452380197e-10,5.600294117336091e-10,0
2025-12-16 21:31:11.539,74.00390625,72.685546875,0.25327347652632953,0.4476644193387748,0.0,0.0,0
2025-12-16 21:31:12.539,73.828125,72.685546875,0.25327347639816544,0.4476644195738958,1.2816409045157684e-10,2.351209782425201e-10,0
2025-12-16 21:31:13.539,73.65234375,72.7734375,0.25327347631162594,0.4476644197642138,8.653949779002801e-11,1.9031798359492313e-10,0
