timestamp,left,right,x,y,action
2025-12-15 00:23:50,192.12890625,216.5625,0.4781049612649464,-0.7761844948587293,2
2025-12-15 00:23:51,197.314453125,216.5625,0.4980273441036097,-0.7796604901586965,1
2025-12-15 00:23:51,198.017578125,216.5625,0.5513006703709629,-0.7784579266505895,1
2025-12-15 00:23:52,200.56640625,216.5625,0.5334759843633804,-0.7494868930724568,1
2025-12-15 00:23:52,199.951171875,217.6171875,0.491341882499717,-0.7324393568600074,1
2025-12-15 00:23:53,189.66796875,226.58203125,0.43017197096354504,-0.7074293114074743,1
2025-12-15 00:23:53,189.580078125,210.498046875,0.40204464352141206,-0.6773226368021013,1
2025-12-15 00:23:54,208.564453125,213.3984375,0.4639577692506122,-0.582241178007425,1
2025-12-15 00:23:54,225.52734375,220.78125,0.52806402394874,-0.47194066637560794,2
2025-12-15 00:23:55,189.931640625,200.478515625,0.6118335903684095,-0.3364244169271753,2
2025-12-15 00:23:55,201.708984375,218.056640625,0.811327134208898,0.026499846615804956,2
2025-12-15 00:23:56,239.94140625,220.693359375,0.9115750915388355,0.2513357236337431,2
2025-12-15 00:23:56,188.0859375,244.248046875,1.0237138833395458,0.493031852898275,2
2025-12-15 00:23:57,193.7109375,217.6171875,1.3623096406605208,0.959707649306137,2
2025-12-15 00:23:57,250.927734375,221.572265625,1.5454361019351994,1.2278934066701699,2
2025-12-15 00:23:58,190.8984375,224.12109375,1.7490699415766489,1.4995940702380508,2
2025-12-15 00:23:58,217.265625,219.287109375,2.2451913736168128,1.9892909177249887,2
2025-12-15 00:23:59,222.451171875,223.681640625,2.511493740181413,2.1745621010987026,2
2025-12-15 00:23:59,187.3828125,205.400390625,2.7819485966008406,2.3679523180229376,2
2025-12-15 00:24:00,245.91796875,225.703125,3.0906317874582507,2.5147615909780936,2
2025-12-15 00:24:00,201.181640625,268.154296875,3.8386181368577015,2.724673543662676,2
2025-12-15 00:24:01,193.18359375,217.08984375,4.251541893539075,2.856365136082554,2
2025-12-15 00:24:01,229.130859375,268.857421875,4.658299300637973,2.9312729140240714,2
2025-12-15 00:24:02,188.349609375,220.341796875,5.611694835157583,2.87090199337951,2
2025-12-15 00:24:02,217.177734375,217.96875,5.935428128377338,2.9456138507996514,2
2025-12-15 00:24:03,203.994140625,210.146484375,6.237362109122576,3.0166593848900036,2
2025-12-15 00:24:03,188.26171875,228.779296875,6.757413378656014,3.0349344435124213,2
2025-12-15 00:24:04,233.7890625,268.9453125,6.93161528440958,3.042933419510432,2
2025-12-15 00:24:04,254.267578125,269.384765625,6.980562180278919,3.075633331671418,0
2025-12-15 00:24:05,254.794921875,269.560546875,6.95326653260771,3.050327318186658,0
2025-12-15 00:24:05,255.498046875,269.47265625,6.944037202775408,3.0574223390933746,0
2025-12-15 00:24:06,255.673828125,269.560546875,6.920453192064906,3.1000714857098584,0
2025-12-15 00:24:06,255.849609375,269.736328125,6.971046377006844,3.1013362699866995,0
2025-12-15 00:24:07,255.76171875,270.087890625,6.910434162643662,3.0775011910193677,0
2025-12-15 00:24:07,255.76171875,270.0,6.923259797067039,3.0652086937864507,0
2025-12-15 00:24:08,255.849609375,270.0,6.900246675012826,3.0198753653694697,0
2025-12-15 00:24:08,256.025390625,270.0,6.767234040244314,2.9454995158462816,0
2025-12-15 00:24:09,256.025390625,270.087890625,6.696379202031476,2.935407420003044,0
2025-12-15 00:24:09,256.025390625,270.087890625,6.7023785198025045,2.921501299403414,0
2025-12-15 00:24:10,255.9375,270.087890625,6.607242518569314,2.886679014683893,0
2025-12-15 00:24:10,255.673828125,269.912109375,6.504515490946252,2.906559733138746,0
2025-12-15 00:24:11,255.498046875,269.912109375,6.403604057016578,2.921538861951029,0
2025-12-15 00:24:11,255.673828125,270.0,6.410829569554384,2.898683243929965,0
2025-12-15 00:24:12,256.025390625,270.087890625,6.394745291596686,2.8424582040891786,0
2025-12-15 00:24:12,256.025390625,270.087890625,6.409062587626096,2.8208419827826727,0
